iter	RMSE
0	532195.0511
1	522688.7931
2	511998.5156
3	503582.6416
4	496359.3746
5	487543.6235
6	482624.4734
7	474657.6818
8	469941.163
9	462158.6943
10	458326.7683
11	454032.178
12	445835.2958
13	441052.0422
14	434843.3887
15	431074.9318
16	427320.971
17	423429.6458
18	418894.4053
19	412035.615
20	406309.4659
21	402892.2919
22	399765.8889
23	393766.2644
24	390795.518
25	387210.6397
26	383804.8903
27	380043.6506
28	375134.6588
29	371485.7004
30	367807.0741
31	364251.5312
32	360909.5066
33	356706.1119
34	352151.6118
35	349612.6784
36	346946.5905
37	341984.8521
38	338486.5895
39	336056.4596
40	332222.5658
41	329473.3612
42	327766.544
43	325282.8973
44	321078.853
45	318003.2674
46	314767.0639
47	312832.0693
48	310505.1458
49	308661.1138
50	306837.5206
51	305612.4149
52	303430.4961
53	301644.9506
54	300483.772
55	298374.4076
56	296147.7809
57	294254.9052
58	291198.7486
59	290348.2523
60	288868.4313
61	287525.0041
62	286526.8489
63	285525.2023
64	282448.5299
65	280005.4167
66	277478.7638
67	275007.507
68	273723.3374
69	272261.3256
70	269662.1079
71	268488.8229
72	266235.4723
73	264552.1892
74	262635.728
75	260625.0356
76	259118.2334
77	257498.7183
78	255045.991
79	253707.1006
80	252512.7011
81	251116.4922
82	250681.1212
83	248815.9533
84	247664.0088
85	246089.5463
86	245719.9491
87	243986.2639
88	242164.8176
89	241317.345
90	239643.6617
91	238315.9064
92	236814.0562
93	235699.8249
94	234184.6254
95	233281.0895
96	231527.8144
97	230692.8749
98	229919.484
99	228883.6375
100	227841.6034
101	226939.4039
102	226150.1817
103	225336.8555
104	224295.8475
105	223205.4385
106	222126.8236
107	221196.5388
108	220745.7532
109	220129.7508
110	218769.9891
111	217881.9357
112	216768.6275
113	215868.4684
114	214362.2987
115	213498.9875
116	212668.1118
117	212174.6192
118	210699.9323
119	209904.2182
120	208118.3165
121	207339.5615
122	206691.3407
123	205349.5713
124	204091.5254
125	203857.5604
126	203294.2623
127	201478.1825
128	201015.2171
129	200705.4515
130	200500.3226
131	199969.5608
132	198843.7959
133	197852.1634
134	197171.6909
135	196445.028
136	196249.4254
137	194856.841
138	194076.7277
139	193648.832
140	192780.4198
141	192401.3111
142	191147.093
143	190213.4925
144	188607.3798
145	187774.0421
146	186703.1903
147	185744.5621
148	185256.3606
149	184317.8514
150	183549.4191
151	182766.5231
152	181729.509
153	180689.5346
154	180167.7112
155	179536.9431
156	178525.6177
157	177432.4526
158	177051.9023
159	175530.0259
160	174746.0353
161	172946.451
162	172274.8782
163	171338.0535
164	170625.3737
165	169980.2264
166	169143.6234
167	168218.1623
168	167499.4334
169	166886.9605
170	166308.6606
171	165399.9349
172	164907.1965
173	163437.2001
174	162488.9134
175	161768.3735
176	160964.2391
177	159954.0914
178	159390.2224
179	158347.8857
180	157642.5202
181	156867.4874
182	156343.5128
183	155485.5467
184	154483.1418
185	153573.2785
186	152473.0097
187	151518.1941
188	150986.1437
189	150489.312
190	149791.8016
191	149237.993
192	148983.3987
193	148529.7432
194	147732.7968
195	147317.6977
196	146492.5944
197	146130.9286
198	145751.0469
199	145185.8812
200	144177.8348
201	143553.4651
202	142805.2404
203	142313.9033
204	141497.764
205	141047.7002
206	140317.0861
207	139895.8608
208	139360.6254
209	139134.5731
210	138602.8262
211	138089.7625
212	137720.8371
213	137348.6287
214	136845.5262
215	136436.4815
216	136020.4497
217	135420.9347
218	134805.0404
219	134371.6309
220	134012.2086
221	133693.9793
222	133358.8452
223	132561.0899
224	132318.7814
225	131987.6554
226	131636.7916
227	130982.0354
228	130715.1075
229	130571.7224
230	130208.9889
231	129910.5155
232	129384.7527
233	128651.3352
234	128108.2724
235	127767.7059
236	127458.7398
237	127115.925
238	126954.3514
239	126596.0005
240	125998.4033
241	125759.3562
242	125456.7313
243	125210.9634
244	124452.2868
245	124242.652
246	124053.9125
247	123633.8395
248	123333.7741
249	122886.4445
250	122479.5329
251	121644.1132
252	120969.3555
253	120760.3625
254	120281.5096
255	119964.2566
256	119629.3764
257	119377.0863
258	119176.7842
259	118427.9475
260	118038.6368
261	117906.3979
262	117548.3327
263	117194.2103
264	116513.7361
265	115968.9116
266	115546.1218
267	115347.2925
268	115104.4817
269	114921.5993
270	114634.1856
271	114305.2493
272	114130.7819
273	113761.635
274	113115.3343
275	112955.5373
276	112779.4701
277	112663.7205
278	112340.4548
279	112056.6002
280	111914.6398
281	111535.493
282	111272.2252
283	110747.0211
284	110569.8158
285	110286.5853
286	110090.2058
287	109653.4689
288	109474.3623
289	109087.374
290	108792.21
291	108487.1942
292	108172.8487
293	107939.1503
294	107712.3683
295	107569.9933
296	107284.8645
297	107064.6207
298	106565.1044
299	106338.8411
300	106094.7273
301	105940.093
302	105855.4415
303	105628.4759
304	105539.8344
305	105327.8418
306	105198.0796
307	104719.095
308	104394.1545
309	103956.3983
310	103826.0272
311	103466.9416
312	103062.1818
313	102958.1959
314	102768.0437
315	102573.243
316	102350.1057
317	101998.1972
318	101456.4623
319	101304.934
320	101135.9552
321	100963.1006
322	100703.1886
323	100542.1639
324	100128.5326
325	99592.53748
326	99426.92932
327	99140.36544
328	98934.62312
329	98778.03106
330	98644.29143
331	98539.66609
332	98424.44645
333	98281.46234
334	97934.26967
335	97784.08356
336	97465.10124
337	97095.22156
338	96972.78081
339	96868.30305
340	96669.3333
341	96588.34054
342	96363.68953
343	96278.33191
344	95791.90322
345	95712.54023
346	95567.71758
347	95443.94824
348	95124.76801
349	95056.49694
350	94863.35656
351	94758.92549
352	94631.31129
353	94408.62694
354	94302.81635
355	94206.93471
356	94081.4387
357	93952.88825
358	93564.38073
359	93127.23672
360	93032.73801
361	92786.16139
362	92571.82963
363	92460.42424
364	92354.46489
365	92275.04378
366	92017.25222
367	91863.52951
368	91767.965
369	91381.57211
370	91222.39362
371	91128.69966
372	90976.58267
373	90835.74508
374	90695.76844
375	90560.71622
376	90451.51031
377	90247.84696
378	89854.55708
379	89763.85245
380	89630.37034
381	89416.7697
382	89224.09404
383	89128.68562
384	88938.78162
385	88815.16756
386	88587.26528
387	88470.14976
388	88389.07924
389	88179.11947
390	88115.77948
391	87907.24325
392	87810.14451
393	87607.61148
394	87474.43435
395	87360.21397
396	87257.48043
397	87184.03297
398	87107.54746
399	86788.05392
400	86693.4378
401	86607.25059
402	86524.59545
403	86398.31041
404	86319.66685
405	86245.9571
406	86084.31923
407	86014.35746
408	85814.61924
409	85467.67455
410	85132.03914
411	84974.72081
412	84811.65707
413	84712.2055
414	84633.30647
415	84514.76977
416	84402.18164
417	84255.69954
418	84175.86205
419	84098.47437
420	84013.4308
421	83895.36323
422	83806.37618
423	83690.66842
424	83623.07625
425	83528.43529
426	83441.44136
427	83355.91707
428	83105.50146
429	82963.71824
430	82827.09865
431	82698.58398
432	82571.27415
433	82440.67545
434	82364.05115
435	82113.23402
436	82041.5026
437	81807.53901
438	81611.05311
439	81529.23541
440	81482.5149
441	81401.61098
442	81311.42602
443	81250.0531
444	81084.02189
445	80894.29913
446	80776.6228
447	80702.88243
448	80622.20456
449	80554.53157
450	80425.8603
451	80297.05144
452	80205.93464
453	80097.82793
454	79980.88735
455	79835.25617
456	79757.62193
457	79673.43279
458	79518.20634
459	79361.33211
460	79223.9055
461	79131.71024
462	79069.69506
463	79029.05354
464	78890.09337
465	78762.6417
466	78691.63469
467	78569.11973
468	78399.18457
469	78291.63674
470	78194.8447
471	78118.90828
472	77989.47747
473	77885.82289
474	77732.9466
475	77629.75063
476	77505.02883
477	77410.64143
478	77353.55429
479	77271.31664
480	77130.92467
481	76960.69775
482	76921.93485
483	76844.25778
484	76758.6532
485	76667.86255
486	76613.19003
487	76529.03613
488	76464.01369
489	76361.80821
490	76297.39901
491	76254.23517
492	76159.00456
493	76109.33505
494	76037.41234
495	75981.71596
496	75750.54527
497	75643.25509
498	75550.90378
499	75478.50749
500	75393.95647
501	75255.39152
502	75157.81473
503	75013.12582
504	74914.3484
505	74834.99893
506	74777.02908
507	74694.93922
508	74626.49912
509	74503.1339
510	74442.46049
511	74326.11087
512	74262.14568
513	74223.26203
514	74148.34914
515	74078.26317
516	73983.77191
517	73909.5046
518	73833.78306
519	73749.45763
520	73661.63754
521	73589.08491
522	73524.83217
523	73442.8888
524	73397.07281
525	73329.3882
526	73279.59712
527	73200.60078
528	73006.08415
529	72937.30612
530	72891.85435
531	72793.14627
532	72713.82469
533	72653.21699
534	72608.71349
535	72503.53045
536	72432.82107
537	72332.69839
538	72268.28436
539	72198.87016
540	72158.33396
541	72105.35359
542	72017.21911
543	71964.70334
544	71833.33897
