ID,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,year,month,day
TRAIN_0000,33,Male,Married,34,35113.78,0,Changed,Own,Monday,Local,0,No witness,42,Broker,1,2748.61,8.0,Compact,19799.63,black,11640.44872906776,1,2017,JUL,18
TRAIN_0001,44,Female,Married,90,38096.04,1,Changed,Own,Thursday,Local,0,No witness,98,Phone,0,6399.1,5.0,Compact,32068.53,blue,9139.61093578032,0,2016,JAN,1
TRAIN_0002,29,Male,Not married,70,33753.0,1,Not changed,Rent,Tuesday,Local,0,No witness,1,Online,0,4639.07,10.0,Compact,20339.02,other,19810.168367072398,0,2016,JUL,14
TRAIN_0003,33,Male,Married,79,35100.61,1,Changed,Rent,Tuesday,Highway,2,No witness,41,Broker,0,3698.98,7.0,Medium,9937.95,black,4428.144435679528,1,2017,JUN,14
TRAIN_0004,51,Male,Married,46,39609.6,1,Changed,Rent,Sunday,Local,2,Witness,98,Broker,1,2084.32,4.0,Large,24504.03,other,10119.55938424208,0,2017,MAY,8
TRAIN_0005,50,Male,Not married,80,39413.43,0,Changed,Own,Wednesday,Local,0,Witness,68,Phone,1,10155.86,4.0,Large,32655.94,blue,6084.66383080424,1,2016,MAR,4
TRAIN_0006,39,Female,Married,83,36829.27,0,Not changed,Rent,Sunday,Local,2,No witness,99,Broker,1,11302.09,10.0,Compact,47965.67,blue,10206.709430409119,0,2016,SEP,27
TRAIN_0007,45,Female,Married,77,38339.06,0,Not changed,Rent,Sunday,Local,0,No witness,50,Phone,1,6247.11,6.0,Medium,32757.22,gray,12118.93736882984,1,2016,SEP,20
TRAIN_0008,50,Female,Married,81,39410.39,1,Not changed,Own,Saturday,Highway,0,No witness,16,Online,0,4206.75,3.0,Compact,21849.76,red,6220.95463718792,1,2016,AUG,8
TRAIN_0009,57,Male,Married,61,40786.47,1,Changed,Own,Thursday,Parking Lot,0,No witness,27,Phone,0,5414.67,4.0,Large,37742.19,red,8415.8657502548,0,2017,OCT,6
