ID,Age,Height,Weight,Position,PreferredFoot,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Prospect
TRAIN_0000,21,182,82,CB,Right,Medium,Medium,4.6377,2.1053,3.2353,3.9394,6.3158,6.2295,4.8864,2.4176,6.7045,5.1807,1.8391,5.1087,2.7586,1.8889,5.3571,5.7303,4.8193,6.0976,5.0,4.5312,5.3333,4.8684,6.8493,6.6667,6.4789,2.069,5.7647,6.4773,4.8936,3.8095,4.5349,5.3012,6.7416,6.7816,6.6667,0.9091,0.7955,0.3297,0.7865,0.9091,4.3836,4.6053,4.4737,4.4737,4.4737,4.6053,4.5333,4.8649,4.9315,4.8649,6.1972,6.0,6.1972,6.4286,6.5278,6.4286,0.875,0
TRAIN_0001,21,160,75,ST,Left,High,Medium,7.3913,7.3684,4.2647,5.9091,2.6316,6.2295,4.5455,7.6923,6.25,5.4217,6.5517,7.3913,6.4368,5.2222,4.5238,5.8427,8.4337,7.1951,6.9737,6.4062,8.8,6.9737,6.8493,7.4074,7.0423,7.5862,3.7647,3.75,7.1277,6.4286,8.6047,6.1446,2.809,3.3333,2.9762,1.25,1.1364,0.6593,0.6742,1.3636,6.9863,6.8421,6.8421,6.8421,6.8421,6.8421,6.6667,6.4865,5.8904,6.4865,5.2113,4.4286,5.2113,5.0,4.1667,5.0,1.25,0
TRAIN_0002,18,165,60,RB,Right,Medium,Medium,6.2319,3.2895,3.9706,3.9394,4.8684,4.4262,5.9091,4.0659,5.2273,5.5422,2.1839,5.3261,3.3333,4.4444,5.4762,5.618,6.747,6.8293,6.1842,1.875,6.1333,3.1579,6.1644,6.6667,4.2254,4.2529,4.0,4.8864,5.6383,4.1667,4.0698,3.7349,5.0562,5.977,5.9524,0.7955,0.9091,1.3187,1.0112,1.0227,4.5205,5.2632,4.7368,4.7368,4.7368,5.2632,4.9333,5.2703,4.9315,5.2703,5.7746,5.1429,5.7746,5.8571,5.0,5.8571,0.75,0
TRAIN_0003,20,190,72,CB,Right,Medium,Medium,4.7826,1.0526,0.4412,0.303,4.6053,4.0984,1.9318,1.6484,4.4318,2.6506,2.6437,2.0652,2.6437,2.3333,2.0238,2.809,5.5422,5.7317,3.2895,2.6562,4.4,2.3684,6.0274,5.5556,4.3662,2.2989,4.0,5.5682,2.234,2.1429,3.2558,3.253,5.2809,5.0575,5.2381,1.25,0.7955,0.8791,0.8989,1.3636,2.3288,2.3684,2.2368,2.2368,2.2368,2.3684,2.1333,2.2973,2.3288,2.2973,4.0845,3.7143,4.0845,4.5714,4.5833,4.5714,0.875,0
TRAIN_0004,21,181,77,ST,Right,High,Medium,8.2609,7.3684,5.4412,6.9697,1.3158,5.9016,6.8182,7.9121,6.25,6.6265,7.2414,7.7174,4.8276,6.7778,5.119,7.5281,9.1566,7.9268,8.4211,6.5625,6.6667,6.9737,3.0137,7.1605,6.338,7.5862,5.4118,1.7045,7.9787,6.3095,6.8605,6.3855,2.5843,1.6092,1.0714,1.0227,0.6818,1.2088,1.3483,0.4545,7.6712,7.7632,7.6316,7.6316,7.6316,7.7632,7.4667,7.5676,6.3014,7.5676,5.2113,4.2857,5.2113,4.7143,3.3333,4.7143,1.125,0
TRAIN_0005,18,177,73,LB,Left,Medium,Medium,5.0725,1.1842,0.8824,2.7273,4.0789,4.2623,3.8636,2.0879,3.75,1.9277,1.954,5.1087,2.9885,2.5556,1.9048,2.809,6.2651,5.4878,5.7895,3.4375,6.6667,0.7895,5.0685,5.3086,4.2254,2.2989,5.1765,5.4545,4.2553,3.0952,3.7209,3.1325,4.1573,4.8276,5.5952,0.6818,0.9091,0.989,0.4494,0.5682,2.7397,3.5526,3.1579,3.1579,3.1579,3.5526,3.0667,3.3784,2.7397,3.3784,4.3662,3.5714,4.3662,4.5714,4.3056,4.5714,0.625,0
TRAIN_0006,20,196,82,GK,Right,Medium,Medium,3.6232,5.0,3.6765,4.0909,1.9737,3.6066,0.9091,0.2198,0.6818,2.0482,0.3448,0.5435,0.4598,0.8889,1.1905,0.6742,2.1687,1.4634,1.1842,3.4375,1.0667,2.6316,2.8767,0.6173,4.507,0.4598,0.9412,1.0227,0.3191,4.2857,1.1628,2.0482,0.5618,0.4598,0.9524,5.7955,5.9091,5.2747,5.618,6.0227,0.274,0.6579,0.6579,0.6579,0.6579,0.6579,0.9333,0.5405,0.8219,0.5405,0.5634,0.5714,0.5634,0.5714,0.5556,0.5714,5.625,0
TRAIN_0007,21,189,64,CDM,Right,Medium,Medium,4.058,3.5526,4.7059,4.3939,5.5263,5.7377,5.4545,3.7363,5.2273,6.8675,3.4483,6.1957,4.2529,4.0,6.6667,5.618,5.4217,4.7561,5.3947,4.6875,4.6667,5.3947,5.6164,4.9383,6.338,4.2529,6.8235,5.9091,4.2553,4.1667,5.4651,3.8554,6.2921,5.7471,6.7857,1.25,0.5682,0.3297,0.7865,0.3409,4.6575,5.1316,4.8684,4.8684,4.8684,5.1316,5.2,5.2703,5.4795,5.2703,6.0563,6.1429,6.0563,6.1429,6.1111,6.1429,0.75,0
TRAIN_0008,19,174,60,RB,Right,Medium,Medium,4.058,1.5789,1.3235,3.1818,3.6842,2.7869,4.5455,2.5275,3.4091,2.2892,2.6437,5.2174,2.7586,3.1111,2.0238,3.9326,5.4217,4.7561,5.9211,3.2812,8.1333,1.4474,5.2055,5.679,1.831,2.7586,4.8235,4.7727,4.5745,3.0952,3.4884,2.2892,4.1573,4.5977,5.2381,0.7955,0.9091,0.8791,0.8989,1.1364,2.8767,3.8158,3.4211,3.4211,3.4211,3.8158,3.3333,3.7838,3.1507,3.7838,4.507,3.4286,4.507,4.5714,3.8889,4.5714,0.875,0
TRAIN_0009,18,183,75,CB,Right,Medium,Medium,4.4928,1.4474,2.0588,3.1818,5.1316,3.6066,2.1591,2.1978,5.6818,4.8193,2.8736,4.8913,4.1379,2.4444,4.4048,5.0562,4.9398,5.7317,4.4737,2.0312,5.4667,2.6316,8.4932,2.5926,4.6479,2.069,4.8235,5.9091,3.1915,2.7381,3.7209,3.8554,5.618,5.6322,5.3571,1.3636,1.4773,1.3187,0.5618,1.1364,3.2877,3.6842,3.5526,3.5526,3.5526,3.6842,3.6,3.6486,3.6986,3.6486,4.507,4.7143,4.507,4.8571,5.2778,4.8571,1.0,1
